"","Month","PM10...µg.m.","COMUNE","Year"
"338","aprile",25.3666666666667,"Brescia","2020"
"339","dicembre",39.5,"Brescia","2020"
"340","febbraio",44.4137931034483,"Brescia","2020"
"341","gennaio",55.7096774193548,"Brescia","2020"
"342","giugno",14.1666666666667,"Brescia","2020"
"343","luglio",17.1333333333333,"Brescia","2020"
"344","maggio",17.9354838709677,"Brescia","2020"
"345","marzo",33.5806451612903,"Brescia","2020"
"346","novembre",49.5666666666667,"Brescia","2020"
"347","ottobre",28.1290322580645,"Brescia","2020"
"348","settembre",23.5333333333333,"Brescia","2020"
"349","agosto",9.58064516129032,"Brione","2020"
"350","aprile",18.1333333333333,"Brione","2020"
"351","dicembre",33,"Brione","2020"
"352","febbraio",33.8275862068966,"Brione","2020"
"353","gennaio",38.1935483870968,"Brione","2020"
"354","giugno",11,"Brione","2020"
"355","luglio",11.4,"Brione","2020"
"356","maggio",12.6129032258065,"Brione","2020"
"357","marzo",23.0645161290323,"Brione","2020"
"358","novembre",38.7333333333333,"Brione","2020"
"359","ottobre",15.0322580645161,"Brione","2020"
"360","settembre",13.0333333333333,"Brione","2020"
"361","agosto",7.41935483870968,"Caino","2020"
"362","aprile",22.6333333333333,"Caino","2020"
"363","dicembre",17.5,"Caino","2020"
"364","febbraio",41.1034482758621,"Caino","2020"
"365","gennaio",45.1290322580645,"Caino","2020"
"366","giugno",10.7666666666667,"Caino","2020"
"367","luglio",9.93333333333333,"Caino","2020"
"368","maggio",14.9677419354839,"Caino","2020"
"369","marzo",29.3225806451613,"Caino","2020"
"370","novembre",29.5,"Caino","2020"
"371","ottobre",13.2903225806452,"Caino","2020"
"372","settembre",10.8666666666667,"Caino","2020"
"373","agosto",20.1612903225806,"Calcinato","2020"
"374","aprile",21.9333333333333,"Calcinato","2020"
"375","dicembre",35.5,"Calcinato","2020"
"376","febbraio",32,"Calcinato","2020"
"377","gennaio",42.2903225806452,"Calcinato","2020"
"378","giugno",12,"Calcinato","2020"
"379","luglio",17.4,"Calcinato","2020"
"380","maggio",14.7096774193548,"Calcinato","2020"
"381","marzo",26.3870967741935,"Calcinato","2020"
"382","novembre",53.9333333333333,"Calcinato","2020"
"383","ottobre",32.1290322580645,"Calcinato","2020"
"384","settembre",25.5,"Calcinato","2020"
"385","agosto",18.5806451612903,"Calvagese della Riviera","2020"
"386","aprile",20.8,"Calvagese della Riviera","2020"
"387","dicembre",37,"Calvagese della Riviera","2020"
"388","febbraio",31.5172413793103,"Calvagese della Riviera","2020"
"389","gennaio",40.5161290322581,"Calvagese della Riviera","2020"
"390","giugno",10.3,"Calvagese della Riviera","2020"
"391","luglio",16.9333333333333,"Calvagese della Riviera","2020"
"392","maggio",13.741935483871,"Calvagese della Riviera","2020"
"393","marzo",24.1612903225806,"Calvagese della Riviera","2020"
"394","novembre",51.3666666666667,"Calvagese della Riviera","2020"
"395","ottobre",29.9677419354839,"Calvagese della Riviera","2020"
"396","settembre",22.9333333333333,"Calvagese della Riviera","2020"
"397","agosto",20.4193548387097,"Calvisano","2020"
"398","aprile",19.7333333333333,"Calvisano","2020"
"399","dicembre",30,"Calvisano","2020"
"400","febbraio",25.6206896551724,"Calvisano","2020"
"401","gennaio",34.7096774193548,"Calvisano","2020"
"402","giugno",11.0333333333333,"Calvisano","2020"
"403","luglio",16.8666666666667,"Calvisano","2020"
"404","maggio",12.9354838709677,"Calvisano","2020"
"405","marzo",24.6129032258065,"Calvisano","2020"
"406","novembre",52.6666666666667,"Calvisano","2020"
"407","ottobre",32.0322580645161,"Calvisano","2020"
"408","settembre",25.9,"Calvisano","2020"
"409","agosto",5.06451612903226,"Capo di Ponte","2020"
"410","aprile",10.6666666666667,"Capo di Ponte","2020"
"411","dicembre",14.5,"Capo di Ponte","2020"
"412","febbraio",14.0689655172414,"Capo di Ponte","2020"
"413","gennaio",19.8709677419355,"Capo di Ponte","2020"
"414","giugno",5.46666666666667,"Capo di Ponte","2020"
"415","luglio",5.63333333333333,"Capo di Ponte","2020"
"416","maggio",7.87096774193548,"Capo di Ponte","2020"
"417","marzo",10.8064516129032,"Capo di Ponte","2020"
"418","novembre",20.1,"Capo di Ponte","2020"
"419","ottobre",5.06451612903226,"Capo di Ponte","2020"
"420","settembre",6.26666666666667,"Capo di Ponte","2020"
"421","agosto",4.48387096774194,"Capovalle","2020"
"422","aprile",12.5333333333333,"Capovalle","2020"
"423","dicembre",10.5,"Capovalle","2020"
"424","febbraio",13.9310344827586,"Capovalle","2020"
"425","gennaio",18.6129032258065,"Capovalle","2020"
"426","giugno",6.06666666666667,"Capovalle","2020"
"427","luglio",5.53333333333333,"Capovalle","2020"
"428","maggio",8.74193548387097,"Capovalle","2020"
"429","marzo",12.5161290322581,"Capovalle","2020"
"430","novembre",16.0333333333333,"Capovalle","2020"
"431","ottobre",6.12903225806452,"Capovalle","2020"
"432","settembre",6.43333333333333,"Capovalle","2020"
"433","agosto",20.3548387096774,"Capriano del Colle","2020"
"434","aprile",23.6,"Capriano del Colle","2020"
"435","dicembre",35.5,"Capriano del Colle","2020"
"436","febbraio",36.5862068965517,"Capriano del Colle","2020"
