",""Month"",""PM10...µg.m."",""COMUNE"""
"342,""giugno"",14.1666666666667,""Brescia"""
"343,""luglio"",17.1333333333333,""Brescia"""
"344,""maggio"",17.9354838709677,""Brescia"""
"345,""marzo"",33.5806451612903,""Brescia"""
"346,""novembre"",49.5666666666667,""Brescia"""
"347,""ottobre"",28.1290322580645,""Brescia"""
"348,""settembre"",23.5333333333333,""Brescia"""
"349,""agosto"",9.58064516129032,""Brione"""
"350,""aprile"",18.1333333333333,""Brione"""
"351,""dicembre"",33,""Brione"""
"352,""febbraio"",33.8275862068966,""Brione"""
"353,""gennaio"",38.1935483870968,""Brione"""
"354,""giugno"",11,""Brione"""
"355,""luglio"",11.4,""Brione"""
"356,""maggio"",12.6129032258065,""Brione"""
"357,""marzo"",23.0645161290323,""Brione"""
"358,""novembre"",38.7333333333333,""Brione"""
"359,""ottobre"",15.0322580645161,""Brione"""
"360,""settembre"",13.0333333333333,""Brione"""
"361,""agosto"",7.41935483870968,""Caino"""
"362,""aprile"",22.6333333333333,""Caino"""
"363,""dicembre"",17.5,""Caino"""
"364,""febbraio"",41.1034482758621,""Caino"""
"365,""gennaio"",45.1290322580645,""Caino"""
"366,""giugno"",10.7666666666667,""Caino"""
"367,""luglio"",9.93333333333333,""Caino"""
"368,""maggio"",14.9677419354839,""Caino"""
"369,""marzo"",29.3225806451613,""Caino"""
"370,""novembre"",29.5,""Caino"""
"371,""ottobre"",13.2903225806452,""Caino"""
"372,""settembre"",10.8666666666667,""Caino"""
"373,""agosto"",20.1612903225806,""Calcinato"""
"374,""aprile"",21.9333333333333,""Calcinato"""
"375,""dicembre"",35.5,""Calcinato"""
"376,""febbraio"",32,""Calcinato"""
"377,""gennaio"",42.2903225806452,""Calcinato"""
"378,""giugno"",12,""Calcinato"""
"379,""luglio"",17.4,""Calcinato"""
"380,""maggio"",14.7096774193548,""Calcinato"""
"381,""marzo"",26.3870967741935,""Calcinato"""
"382,""novembre"",53.9333333333333,""Calcinato"""
"383,""ottobre"",32.1290322580645,""Calcinato"""
"384,""settembre"",25.5,""Calcinato"""
"385,""agosto"",18.5806451612903,""Calvagese della Riviera"""
"386,""aprile"",20.8,""Calvagese della Riviera"""
"387,""dicembre"",37,""Calvagese della Riviera"""
"388,""febbraio"",31.5172413793103,""Calvagese della Riviera"""
"389,""gennaio"",40.5161290322581,""Calvagese della Riviera"""
"390,""giugno"",10.3,""Calvagese della Riviera"""
"391,""luglio"",16.9333333333333,""Calvagese della Riviera"""
"392,""maggio"",13.741935483871,""Calvagese della Riviera"""
"393,""marzo"",24.1612903225806,""Calvagese della Riviera"""
"394,""novembre"",51.3666666666667,""Calvagese della Riviera"""
"395,""ottobre"",29.9677419354839,""Calvagese della Riviera"""
"396,""settembre"",22.9333333333333,""Calvagese della Riviera"""
"397,""agosto"",20.4193548387097,""Calvisano"""
"398,""aprile"",19.7333333333333,""Calvisano"""
"399,""dicembre"",30,""Calvisano"""
"400,""febbraio"",25.6206896551724,""Calvisano"""
"401,""gennaio"",34.7096774193548,""Calvisano"""
"402,""giugno"",11.0333333333333,""Calvisano"""
"403,""luglio"",16.8666666666667,""Calvisano"""
"404,""maggio"",12.9354838709677,""Calvisano"""
"405,""marzo"",24.6129032258065,""Calvisano"""
"406,""novembre"",52.6666666666667,""Calvisano"""
"407,""ottobre"",32.0322580645161,""Calvisano"""
"408,""settembre"",25.9,""Calvisano"""
"409,""agosto"",5.06451612903226,""Capo di Ponte"""
"410,""aprile"",10.6666666666667,""Capo di Ponte"""
"411,""dicembre"",14.5,""Capo di Ponte"""
"412,""febbraio"",14.0689655172414,""Capo di Ponte"""
"413,""gennaio"",19.8709677419355,""Capo di Ponte"""
"414,""giugno"",5.46666666666667,""Capo di Ponte"""
"415,""luglio"",5.63333333333333,""Capo di Ponte"""
"416,""maggio"",7.87096774193548,""Capo di Ponte"""
"417,""marzo"",10.8064516129032,""Capo di Ponte"""
"418,""novembre"",20.1,""Capo di Ponte"""
"419,""ottobre"",5.06451612903226,""Capo di Ponte"""
"420,""settembre"",6.26666666666667,""Capo di Ponte"""
"421,""agosto"",4.48387096774194,""Capovalle"""
"422,""aprile"",12.5333333333333,""Capovalle"""
"423,""dicembre"",10.5,""Capovalle"""
"424,""febbraio"",13.9310344827586,""Capovalle"""
"425,""gennaio"",18.6129032258065,""Capovalle"""
"426,""giugno"",6.06666666666667,""Capovalle"""
"427,""luglio"",5.53333333333333,""Capovalle"""
"428,""maggio"",8.74193548387097,""Capovalle"""
"429,""marzo"",12.5161290322581,""Capovalle"""
"430,""novembre"",16.0333333333333,""Capovalle"""
"431,""ottobre"",6.12903225806452,""Capovalle"""
"432,""settembre"",6.43333333333333,""Capovalle"""
